21963.6656	0.6853	0.7711	0.6414	0.5238	0.8456	0.6767	0.6853	0.7667
21405.7174	0.6966	0.7986	0.6473	0.5229	0.8691	0.687	0.6966	0.7833
20889.0307	0.7093	0.7634	0.6742	0.6035	0.8143	0.7059	0.7093	0.791
20682.2731	0.7147	0.7661	0.6805	0.6151	0.8136	0.7117	0.7147	0.7944
20552.7387	0.7198	0.7785	0.6821	0.6116	0.8273	0.7164	0.7198	0.8009
20526.044	0.7196	0.7252	0.7143	0.7037	0.7354	0.7195	0.7196	0.802
20690.7998	0.7213	0.7541	0.6964	0.6537	0.7884	0.7199	0.7213	0.8029
20527.7562	0.7211	0.7197	0.7225	0.721	0.7212	0.7211	0.7211	0.808
20437.42	0.7266	0.7376	0.7168	0.7004	0.7526	0.7264	0.7266	0.8113
20917.9544	0.718	0.6977	0.7425	0.7656	0.6707	0.7174	0.718	0.8123
21570.5189	0.7209	0.7018	0.7436	0.7647	0.6774	0.7204	0.7209	0.8121
21498.0275	0.7269	0.7246	0.7292	0.7287	0.725	0.7269	0.7269	0.8144
21688.289	0.7288	0.7265	0.7311	0.7307	0.7269	0.7288	0.7288	0.8162
24007.5756	0.7143	0.6824	0.759	0.7981	0.6313	0.7125	0.7143	0.8154
23462.0402	0.7209	0.6982	0.749	0.7747	0.6676	0.7202	0.7209	0.8163
24961.5371	0.7215	0.6943	0.7567	0.7876	0.6558	0.7203	0.7215	0.8176
26495.8321	0.7185	0.691	0.7545	0.7866	0.6509	0.7173	0.7185	0.8154
29245.5258	0.7074	0.6658	0.7751	0.8283	0.5873	0.7032	0.7074	0.8169
30807.6446	0.7102	0.6721	0.7687	0.8167	0.6045	0.7071	0.7102	0.8167
31207.1607	0.709	0.6698	0.7702	0.8201	0.5988	0.7056	0.709	0.815
36155.6229	0.7032	0.6583	0.7817	0.8405	0.5669	0.6978	0.7032	0.8178
37709.7709	0.7021	0.6593	0.7745	0.8318	0.5732	0.6972	0.7021	0.8143
38748.2048	0.7092	0.6692	0.7725	0.8232	0.5961	0.7056	0.7092	0.8162
42171.2337	0.6964	0.6483	0.7881	0.8536	0.5404	0.689	0.6964	0.8152
45890.2973	0.6886	0.6375	0.7968	0.8691	0.5095	0.6785	0.6886	0.8167
51416.5999	0.6923	0.6439	0.7871	0.8555	0.5303	0.6842	0.6923	0.8138
