18551.8752	0.7043	0.786	0.6589	0.5614	0.8471	0.6981	0.7043	0.7818
17861.5727	0.7149	0.7684	0.6792	0.6153	0.8146	0.7121	0.7149	0.7974
17757.2279	0.724	0.7724	0.6902	0.6351	0.8129	0.7218	0.724	0.8049
17183.496	0.7347	0.7832	0.7004	0.6491	0.8203	0.7328	0.7347	0.8161
17009.683	0.7376	0.7668	0.7142	0.683	0.7923	0.7369	0.7376	0.82
17541.6683	0.7283	0.7078	0.7531	0.7774	0.6792	0.7276	0.7283	0.8206
16823.5909	0.7404	0.7722	0.7153	0.6821	0.7988	0.7395	0.7404	0.8254
16857.0495	0.743	0.759	0.7289	0.7121	0.774	0.7428	0.743	0.828
16929.091	0.7389	0.735	0.7429	0.7471	0.7307	0.7389	0.7389	0.8288
17344.8556	0.7436	0.748	0.7394	0.7349	0.7524	0.7436	0.7436	0.831
17194.5291	0.7459	0.7434	0.7484	0.7509	0.7409	0.7459	0.7459	0.8332
19167.0053	0.7317	0.7018	0.772	0.8057	0.6577	0.7302	0.7317	0.8307
19623.3078	0.7346	0.7068	0.771	0.8018	0.6674	0.7334	0.7346	0.8329
21980.2437	0.7182	0.6735	0.7942	0.8474	0.5892	0.7135	0.7182	0.8329
21231.4354	0.7295	0.6914	0.7866	0.8291	0.63	0.7268	0.7295	0.8363
22216.54	0.7257	0.6837	0.7926	0.84	0.6115	0.7221	0.7257	0.8352
24123.242	0.7246	0.6841	0.7879	0.8345	0.6146	0.7212	0.7246	0.8337
25826.3184	0.7157	0.6675	0.8027	0.8594	0.572	0.7097	0.7157	0.8343
27538.8551	0.715	0.6678	0.7991	0.8556	0.5744	0.7093	0.715	0.8336
29942.0508	0.7123	0.6622	0.8073	0.8668	0.5578	0.7053	0.7123	0.8353
32063.5984	0.7063	0.6538	0.813	0.8767	0.5359	0.6975	0.7063	0.8358
29947.7322	0.7213	0.6751	0.8006	0.8532	0.5895	0.7164	0.7213	0.8363
42715.3441	0.697	0.6422	0.8204	0.8896	0.5043	0.6853	0.697	0.833
42296.7616	0.6955	0.6402	0.8227	0.8926	0.4984	0.6832	0.6955	0.8328
44949.2282	0.698	0.6425	0.8245	0.8929	0.5032	0.6861	0.698	0.8343
42297.6829	0.7098	0.6587	0.8093	0.8706	0.549	0.7021	0.7098	0.8329
49210.3111	0.6977	0.6439	0.8154	0.8843	0.5111	0.6868	0.6977	0.8301
64781.2838	0.6843	0.6271	0.8345	0.9088	0.4597	0.6675	0.6843	0.8308
59136.7621	0.6879	0.6328	0.8211	0.8953	0.4806	0.6739	0.6879	0.8288
65950.2097	0.689	0.6333	0.8248	0.898	0.48	0.6748	0.689	0.8306
66065.3123	0.6934	0.6376	0.8253	0.8961	0.4907	0.6803	0.6934	0.8322
66552.7112	0.6937	0.6386	0.8212	0.8922	0.4951	0.6811	0.6937	0.8316
60984.3231	0.6992	0.6444	0.8212	0.8891	0.5094	0.688	0.6992	0.8343
70951.3341	0.7015	0.6461	0.8247	0.8912	0.5118	0.6903	0.7015	0.8309
94582.2618	0.6736	0.6167	0.8391	0.9176	0.4297	0.653	0.6736	0.8309
100371.0203	0.6726	0.6162	0.8348	0.9149	0.4303	0.6521	0.6726	0.8298
92458.0989	0.6791	0.6222	0.8353	0.912	0.4461	0.6607	0.6791	0.8319
94309.4621	0.6838	0.6276	0.8287	0.9042	0.4634	0.6677	0.6838	0.8304
100047.422	0.6753	0.6181	0.8396	0.9172	0.4333	0.6551	0.6753	0.8299
103514.8425	0.6889	0.6325	0.829	0.9018	0.476	0.6741	0.6889	0.831
85659.727	0.7033	0.6488	0.8208	0.8864	0.5201	0.693	0.7033	0.8333
103300.7151	0.6812	0.6238	0.8382	0.9133	0.4492	0.6631	0.6812	0.8311
120421.789	0.6781	0.6219	0.8308	0.9089	0.4473	0.66	0.6781	0.8276
156875.814	0.6579	0.6023	0.8451	0.9291	0.3866	0.6307	0.6579	0.8243
113373.2475	0.6841	0.6273	0.8326	0.9074	0.4609	0.6676	0.6841	0.8297
142400.6462	0.6678	0.611	0.8436	0.9236	0.412	0.6446	0.6678	0.8266
126660.7096	0.6772	0.6201	0.8378	0.9149	0.4396	0.6579	0.6772	0.8282
131820.4513	0.6701	0.6134	0.8397	0.9197	0.4205	0.6482	0.6701	0.8266
164676.7408	0.6562	0.6005	0.8498	0.9329	0.3795	0.6277	0.6562	0.8255
128541.5964	0.675	0.6185	0.834	0.913	0.437	0.6555	0.675	0.8284
114216.6539	0.6814	0.6248	0.8318	0.9081	0.4547	0.6641	0.6814	0.8305
145701.6432	0.6653	0.6087	0.8449	0.9256	0.405	0.641	0.6653	0.8267
133878.9714	0.6746	0.6182	0.8344	0.9135	0.4357	0.6549	0.6746	0.8268
143340.2212	0.6732	0.6163	0.8388	0.9176	0.4287	0.6524	0.6732	0.8275
155719.1332	0.6678	0.6109	0.8446	0.9243	0.4113	0.6444	0.6678	0.8265
138433.2338	0.6643	0.6081	0.8425	0.9244	0.4042	0.6399	0.6643	0.8281
177394.0056	0.6501	0.5954	0.8519	0.9368	0.3634	0.6188	0.6501	0.8226
191687.814	0.6538	0.5984	0.8515	0.935	0.3726	0.624	0.6538	0.8214
144994.706	0.6811	0.6241	0.8351	0.9108	0.4514	0.6634	0.6811	0.827
153121.9956	0.6702	0.6137	0.8381	0.9185	0.422	0.6486	0.6702	0.8263
162418.2305	0.6628	0.607	0.8404	0.9236	0.4021	0.6382	0.6628	0.8236
181367.4034	0.6604	0.6048	0.8418	0.9258	0.395	0.6347	0.6604	0.8224
